ffe1df12585d,ffde7320be88,ffdad916d316,ffd47733b9ad,ffd08c90371e,ffd1afd58af2,ffd15259454c,ffcf79e52a19
ffcc67a1292b,ffcb6c8d7302,ffcc4bae794b,ffd0a3226724,ffca8302c778,ffcda4d8734d,ffd49c47c1c6,ffd0c5aa7c53
ffd94df186d2,ffdb67ad539a,ffe1b5e4e039,ffe43f5035ac,ffe752b31fc2,ffece6c752d8,ffef4813a63a,fff2f7fee159
fff9e9da4cbb,0000ccf8c4d0,000380dc916a,000e292c8a46,000fbdd2b565,0012bca099cc,001d229947f3,001a7b458107
0027578fe66d,0025bab65581,002d27e2677c,002bc2ce4053,002fd5365034,0034b2dc6b68,00355c7abda7,003bd464bf70
0037d43176ad,003a40822db2,0038ac9bdc9a,003869c92721,00344cb1da93,00385fa0fd89,0034579acdd8,002fa6ec0673
002d8dce631c,00284c27f047,002b4a22be9b,0024accf3950,001cd6a39e43,001b5cfae28a,00178cc045a9,000e3d42ffcc
0008fc27b648,0002f7b7ad97,00018aa2552b,fff8ba6b8c2e,fff3d4775bbc,ffef32956355,ffeabf188380,ffe8946e3646
ffe2a801f619,ffe22c317529,ffdb42b2a4b2,ffd7a7e49fa6,ffd5e44428ed,ffcd883a7ff3,ffd1f4cc6efe,ffcb69d2eb23
ffcc535dc54b,ffcd7bae34c6,ffce1933fdd7,ffcc9020690e,ffce0e4314fb,ffd24ccc4a6a,ffce4163935e,ffd280f4d9b8
ffd8727eeb3e,ffdb764554f2,ffdc43cc5d74,ffde7fdf1062,ffe9bd296965,ffec85d2c502,ffeed32d9853,fff3d3cfa63f
fffb9e2e3677,fffd15392132,0004a79aa10d,0008db103b4a,0014921d05b2,00145a447ec8,001879799bc8,0020e18d949a
00229de01133,0026aed68073,0026a3e36247,002fffeea893,00317cf3beb1,003369c82358,00352486596b,003779140cdf
003930922ecb,003d3d4f210c,00362a0df9fa,003b31a17a9f,003529b3a3db,0033986995be,0033c68be85c,0034292932c5
003109110a8c,002864b1747c,0028c3092cc4,0021cdc981fb,001d07e80227,001db2533712,0017945d9ef7,00153daa585f
000a4f8dc469,0002f9976695,00022468ff73,fffcec48e42b,fff421451ce0,ffeeab1e47bc,ffeb91985cf1,ffe8a863160a
ffe2bba245fe,ffdc290b7416,ffda73b7ea53,ffd7b2d8504b,ffd19ab2027d,ffd32a44437a,ffce50b53a98,ffcfe6ae0be0
ffc8a09598c9,ffcc54d695a9,ffcb01fd9a3c,ffcc59c8fb4c,ffcd4c181314,ffd02288c7a4,ffd41b5ef332,ffd5f35780ae
ffd45cb132d2,ffdd7ff64268,ffdf2832fde6,ffe27889c8f6,ffe3504f6fc0,ffeb3e979891,fff346b8c65a,fff8eefd4737
fffc39090a3b,00007325594d,0006d762ebdf,0009f9aeda42,0012d4e3a845,0014feab69b5,001a1f7ac9ac,001ecb06957c
0024886ff0c4,0026937ea8ee,002ee914c89b,002c32ce3e0c,0033e9291bba,003368df1aed,003904887bba,0036dfa25760
003768f7aa79,003476bd82e2,0038c163bade,0037a2e9de79,0035857459f6,0038e3d604f5,00326ffdbb90,003662fd247d
002d73c94b5b,002c65d22d51,002358af459e,002341ef8d26,00224400be41,001dcb2401d5,001689211219,001064dc7dad
000e998540fb,00075ded4301,0002e406eaa5,fffbbfadf3b5,fff65cc1428b,ffebea17e95c,ffed4e6b5b73,ffe82f16f07e
ffe19a647b80,ffdde337a05f,ffd8e7901d9d,ffd8706c9a71,ffd3a9e8685d,ffd2a815e7d9,ffce072b1d52,ffcca8621448
ffca2c28cf55,ffcbb18ee7eb,ffc76245523c,ffcf4116eec6,ffce5871bbb2,ffccde5ae649,ffce622349d9,ffd3342ac8e0
ffd7662e35b8,ffdbc509c0d3,ffdf421611bb,ffe03c701811,ffe8455e4be3,ffebd1145765,ffede91a45aa,fff5c4717bd1
