ffbb45d74c29,ffc26ff16544,ffc90e3e50bc,ffd93f18eb72
ffe3cf27a9a1,ffef310411bb,0003872f49c2,0012bd2a8c30
001f71a666a9,002cc6c75aea,0038ffd2969b,004097a77c0d
004a2e1fffd5,004f4caec307,0053c48540bd,005047967119
004a583994c7,00448a532b87,003d2f10fd63,00314ffabd9f
002676bffcb8,0017e03651fb,000819121c4d,fff85585395d
ffe7f30b064f,ffd88ad26e3d,ffcd67a44faf,ffc0d5a7966d
ffbe596d541b,ffbaaecdc4fc,ffb6dde1020d,ffb75174d4a6
ffbb60f5001b,ffbbff8e387e,ffc6850dd966,ffd8ae68a772
ffe4a987f14d,fff0057be9c6,fffe50230bea,00127dadd768
0019a6590913,00294bd28553,00348514f2f7,00410a3fd2c1
00494d06ef4e,00517daf03c9,004f2cfcb2e7,0050e3e316e4
004c6c778b14,0045d9a46e6c,003c046b1326,00328410c9e4
00202d163452,00199ba9f20c,00045cf186b1,fff6c82e0945
ffe8e3c718e8,ffd84639ef88,ffccc19d14df,ffc5348a7c83
ffbd0a4699a4,ffb98313ffca,ffba6ac45b6d,ffb995ca6249
ffba663b2342,ffc27461319d,ffcb105c1985,ffd6617f5434
ffe3a3bbce48,fff0f3013e48,0003f46c5c44,000f1b6fcffb
001b97c8ecd8,002cd3a13972,003755eafda3,0044d9eee578
004b6b144f34,00512a2dcb89,004e3f0078fc,0050827e9fea
004e3dbebc82,004921db2c5c,003d39398a7d,003032bc3de5
0026faf1df5e,0013e4957011,0004fe0a8266,fff646e6012f
ffe914a968dd,ffdb7c38fcec,ffcebb1ed3a5,ffc88c67136b
ffbd33b0ec66,ffb691cbd4dd,ffb95dc2ab35,ffb98d4b74ce
ffbac2022efe,ffc6b305f8a9,ffc776f28b8c,ffd4601971a0
ffe39b58360c,fff1f162fd23,0002b8d27a59,000f5a152bc2
00216458244a,002a038e51a8,0039880658b8,00402ff3fe02
004a67ea21b3,004e973048b2,0050e34d09d6,004f8a17ddc1
004dc3bc3016,0046fd0717ec,0040cb38ef5a,003151dd7f32
0026c1a57ce9,00163c7c5998,0008baef0c58,fff8864550bd
ffea08e90c25,ffda84506c29,ffd0a7bc0480,ffc41bcfb15a
ffba80d02a33,ffb479fca75c,ffb189676ac7,ffb7da4fe696
ffbad4345b94,ffc3fe9be6c8,ffc84d8d20d3,ffd6a3215b23
ffe4145fcbd4,fff303858b55,0000648ac35a,000d7ccc34eb
001e944aa6ee,002ec5326aa2,003998c44b98,00447a5a7c09
004f61cb3e13,00510c933295,0054e847bed1,004e6ae8feba
004b913ae021,00431b971972,003b7dec7928,0033c7c2bc0d
0021dbb22c0f,00134d932761,000a72ad768f,fff9e3145d2c
ffe56a2b105a,ffd80a9277f4,ffcde99ef616,ffc7c6571e17
ffb984545a63,ffb8f20cb9eb,ffb6a1ee7390,ffb6e03d7958
ffbb477236c6,ffc0b9572b13,ffcaf97c3812,ffd3a07115f2
ffe1174ea8ff,fff1b4dcb5e1,0002de1bfe30,0011f5e71a38
001f2daf1443,002dfef55122,003b1ae11a28,0043e4012b5d
0047e77fa0c7,004ea0b1b918,00554c8cbdd2,004f1e812c1f
004e76c717d0,00466830d2d8,003bccfa9cab,00327476af64
002572271196,0014d28daf43,000a10ba5405,fff85afb0098
ffea1efca9cf,ffde46fa52f1,ffd0e3fcfa21,ffc4089543df
ffbb68233c30,ffb809d71862,ffb388924d5a,ffb54c50a162
ffbb53587c0f,ffc2ac869c9d,ffca3d2592b7,ffd93082fd79
ffdef33b521d,fff15b46382f,0000abdceafc,0012053c9d23
001de8e81b41,002c0ec7ce51,003820cd76ba,0041d50dd32d
00486681797f,0050db3b415a,004dd657ecd3,004f47a82a9d
004d164a9560,0047b87256ef,003c16673f62,0030936cd1d6
0024f91edd67,00133a29c9f9,0009f8c0b94c,fff5d1f24496
ffe72e6990af,ffd6e5d3991d,ffd1f4dea2b4,ffc22abd53b3
ffc00c705d29,ffb8a83b9d80,ffb67d234f1e,ffb951e02bfe
ffbab49a1e74,ffc32fceeecd,ffc8758ba7ca,ffd0da8b935b
ffe05f8b70ea,fff22490978d,fffd4b2c21b3,000f2da5d6a6
0020fb32a02b,002dcc76772f,00368504a614,004262b36694
