fffec34bd41f,ffff1624678c
fffed8942e52,fffd7c078de0
fffc40b4a897,fffbca19bec3
fffbae138138,fffbc231b09e
fffbff199a1a,fffc20d75de0
fffc4ad5ef43,fffc8a4c0c61
fffcd9cbf13b,fffd4f1ff246
fffdda545024,fffe560ef036
fffed5524dd8,ffff81f750a1
00002a76d121,0000e83841c1
00018adc27c0,000180fea93e
00012a6fd972,0000a88bbdc7
00000664b5e7,ffff8bba5130
ffff0ff77f8c,fffe8953826e
fffdf80542c4,fffd33250fc8
fffc566e022a,fffb959fdd2b
fffad779f316,fff9e7abe81a
fff904e8eb78,fff80f8779bd
fff7441945bb,fff75c760d25
fff7dfcc5aae,fff898055e88
fff980901691,fffa563787bd
fffb3707e93e,fffc35152fa7
fffd42a34d50,fffe5e8cb29d
ffff86dac6b5,00009d293131
0001b379ff64,0002fa6d587b
00043de00dc9,00058e8aa08e
0006c335aab0,000755b3fbab
000799ef786a,0007c3303693
0007c8c6c57f,0007bd716f58
0007a434b8f0,000769643e2d
0007251f54d5,000714b9f360
000712d13c19,000708cb9bbf
0006fb7195b2,0006e1f06acf
0006bbba50fe,00069703ee57
00066558f8d6,0006056f773a
0005905dbb9a,00050218f3d0
0004689a0281,0003f0aa182a
0003796ac928,00030728e0fa
00028c2c9919,0001c50e9167
0000dd8b8dca,00000b40fa02
ffff38244f9d,fffe413edda5
fffd57ae6a7f,fffc5ae6b122
fffb828ea9d9,fffb7243ab04
fffbbe1eb310,fffc3f001b4a
fffce96abbdd,fffd6f53e547
fffdfba7f00c,fffe99e71e1e
ffff480f880e,00002da5bf30
00012f3ebf6d,000216c30835
0002feb0821b,00041f63778a
0005359832f6,000661f92da4
00076484a109,0007787303ef
00071d124c86,00068c871518
0005ca61024c,00051ab76f2f
00045fd7d8db,0003863ca235
00029d2e3e6b,0001aab5fcf8
0000adcd879e,ffffc1108857
fffed423084d,fffdb97689b4
fffca193ea2e,fffb7ca11a8f
fffa7149db88,fff9fbec12c0
fff9ce0f6017,fff9bc8dbb5e
fff9cbb1a74a,fff9e0aa6360
fffa0110ee21,fffa3c922781
fffa82527ed5,fffaae97efe9
fffad6740f42,fffb022df369
fffb31a5eadb,fffb709f65e5
fffbb77eb73c,fffc029b1e25
fffc51f5d047,fffca1835e25
fffcf2c6d6f5,fffd489bcde3
fffda0b81b2b,fffdf6efcc3f
fffe4e997fe4,fffea6240d54
fffeffb7be93,ffff6519641a
ffffcfbc69a8,00003763c130
00009f43fab3,00010d0529ab
000178d832b6,0001e659dd92
00024df5e84e,000297fb9900
0002d2ec2219,00030896ce50
0003369a1736,00035e246362
0003815f9341,00039c950f36
0003b4b437e5,0003d84154a1
0003fe60aac3,00041f377ef6
00043d8fc5b3,00045be84b0e
000475a9df49,00048ed1fea9
0004a1597644,00049b106a64
000487ce88cd,00046e48feae
00044e01e2bd,00042b0f2160
000404fdf4aa,0003d95a7ffd
0003ab41a2ed,0003810af8c0
0003570ea2bd,00032d0eae2b
00030264afec,0002d2bf77b0
0002a19eb5ae,0002704385c7
00023f3113e9,000212d7908a
0001e9a0b401,0001bcda0a87
00019184a698,000172c710af
00015694667c,0001404d8b1c
0001293d7e86,0000f6df1d72
0000ba1f5e65,000084fa92f1
00005092814c,000014060c89
ffffdd678d18,ffffa1829d67
ffff7224b1a9,ffff823f883b
ffffafaf5714,fffff080fabf
00003effb5a8,00007d9f68e8
0000be2f716e,000102de9072
00014dd73f79,0001b697dcb3
00022d478f60,000299de082f
000307124a94,000388fbcef4
0004059a00cb,00048c0f8c74
000500f44f4a,000512fe19ac
0004f79bcff2,0004c1e5bb92
0004779bbb05,00043fb23bb6
00040463ef91,0003c03127cb
0003738a7cad,000309822152
000290836314,0002231dd722
0001b48e0156,00012a9a50ae
0000a53fe441,0000138c2aa9
ffff9553c9f8,ffff8a98dd20
ffffb475be87,fffffa875897
0000577e1fd2,0000a1218fe3
0000edb5c5ea,000144ab17c4
0001a341d04e,000219a6ce43
00029c3412df,000310d0ece6
00038499675c,00041485a206
00049e758f02,00053294c4c2
0005b0c6b875,0005b684bbfc
000583a46f57,0005341d533b
0004ca9dccf0,00046b7587ec
000405ab1fcd,00039057ce5b
00031179a97c,00028671ebe6
0001f28220aa,0001652e5a1e
0000d60b0deb,00002fef32e9
ffff8b0e1b60,fffedcceaf30
fffe3b54e1ff,fffde9a24d59
fffdbc1efc2b,fffda32d0178
fffd9a77fb0b,fffd82c362f7
fffd6dceac8c,fffd6007391d
fffd597a82c6,fffd6b46967e
fffd89b1105e,fffda125a09f
fffdbac657ca,fffde812abb5
fffe12ad6c7a,fffe48c5f551
fffe71d3f7db,fffe46ea48f6
fffdf7e2f41a,fffd8fbb185d
fffd18ad0a63,fffcc1cf03b5
fffc6cf30ceb,fffc183b4345
fffbbd6c0e99,fffb2ee3a3c0
fffa8a98cf7e,fff9fb2456eb
fff96d9eff98,fff8c03ec4b2
fff81f0ce2bc,fff76f3fae8e
fff6e00848ce,fff6fdb873b2
fff76bb47237,fff80805916a
fff8c9042fc0,fff96c57c9f3
fffa1625410a,fffad0691437
fffb98f02de4,fffc90040229
fffd9f0b085f,fffe9874684e
ffff929a12a9,0000bd883dc8
0001e008bdd1,0003155dcff0
000427830bf8,00047012b8d2
00045a6a4ad9,0004187859a0
0003ac6a172b,00034dc709ec
0002e510b2ab,0002615a1538
0001d06a7996,00013b47e035
00009e8c401c,00000d852468
ffff7bb24a8a,fffec4cec976
fffe0ee09916,fffd4e29d352
fffca045ec56,fffc64d74b52
fffc5f959421,fffc6f61dfd9
fffc978b823d,fffcc388c6ca
fffcf7b23f55,fffd3fcee9b2
fffd8f3a64aa,fffdcaf9b46d
fffe02c335f1,fffe3dea4e31
fffe7b706385,fffec1a7e44c
ffff0cf0eff8,ffff5ad38553
ffffabd62dd2,000000eddde5
0000595e73dd,0000b1262ad5
00010aa67e30,00016bf23c40
0001ceadd723,000234b9706a
00029955cdbc,0002ec362c44
000337605cce,000382de4787
0003cbf9ea1e,00041222c4c3
000458e94a84,000498cc5a6f
0004daa0c316,000533b6bf5a
0005937f3030,0005ff6516c7
00066c045dd2,0006b658b18c
0006f8eb3d3d,00072ffb6ef3
0007674522d2,0007d6cb4d42
00085ac622eb,0008c65f65c2
00092cac44cf,0009acc0f1dc
000a1cbf082d,000a9704e921
000aedf83cdc,000a9887395b
0009f087e510,00091ccc6da7
00082242249c,000736097c39
00063f6d530f,00053233b377
000416ff0cc6,0002e7f1e11a
0001ab4c24c9,00007c17ba9b
ffff4bd4f844,fffdf586a4e2
fffca2d7345e,fffb4490a61f
fff9fdf4973a,fff93e583cbb
fff8bfa57b11,fff85c35153a
fff817617c56,fff7d7d05420
fff7a418337c,fff789b85d2a
fff77af245dc,fff75bec1bfd
fff73cf0e1a8,fff72434b3cd
fff711bac1d7,fff70e877277
fff7146913dc,fff7221f57fc
fff735fd52ac,fff74a05c613
fff7624f4725,fff77c4a0a90
fff79b3a097b,fff7c9882869
fff7fe68a604,fff83b12ac26
fff87af4e4a1,fff8ab17f38e
fff8d71ece2c,fff90c1156f2
fff94456669b,fff97858f002
fff9b2d91a98,fff9eab98e82
fffa2d96338f,fffaa2b820e8
fffb2f024d50,fffbcb9a73ce
fffc72aff025,fffd0a16fdba
fffda1b9ea47,fffe3afe7c38
fffed8194c51,ffff8fee187d
00005335df0e,000108d84a14
0001bc77c842,0002857a3395
000347528f63,00040f6305c9
0004c2df9cac,00050dbcf827
00052554cdb8,000527edb288
0005123c0f0a,0004f51d3e14
0004ce7a0eaa,00049356054a
00045080b4a9,000422582cb2
0003f8354bcb,0003cb2c752d
00039bbe390a,000361189fb5
000320a58d31,0002def5265d
00029a516911,000252512a40
0002093549e0,0001b943ff88
000168a74f9d,000126c4b964
0000e75ac23d,0000ad48cec3
00007237e627,000018eab37e
ffffb4076aff,ffff5be4d26d
ffff05fc6fad,fffe9ffea780
fffe41878ebd,fffdde294c05
fffd8d44a776,fffd983b541f
