ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
000a31236c2a,0009e907b6ce,0009a3feb39c,000959a4592c
00090b5cfea9,0008b28d1ed7,00085253eb45,0007eff81409
0007880b2bc3,000714332ece,00069a5ff14c,000617cc6bf6
000591c3d5f1,0005172530c8,00049d12a748,00042578e9cf
0003abaf578c,000317f05f46,000279b8e6e3,0001e5ca508c
00015348cf51,0000b260d023,000017ae9207,ffff7890490e
fffee9724a09,fffea9d17398,fffe9175331b,fffe891a6b39
fffe9398a21e,fffea5190b6f,fffebe6aed2b,fffee804ecf9
ffff17cca777,ffff367f2d58,ffff51d2f7a8,ffff7071d2b3
ffff91567d8d,ffffba1ae41e,ffffe801edbe,000016ce6ef6
0000492dfc9f,000083c59111,0000c211d24e,000106d28e77
00014d79b52a,000189746f73,0001c42567b2,0001fbb9ace7
000234794302,0002835913d8,0002dab77252,000328f9f9ae
0003758217eb,0003cd031edc,00041e8afa56,000473730650
0004ba53b9c1,0004bdd5933b,0004a00f3f7a,000473057f16
000435b1a6f5,0003f5775733,0003aeae351a,00035afe9079
0003011dc24e,0002ad4f8865,000258a7ddb3,000202a5b6da
0001aa18c7a2,00014779fcfc,0000e1451726,000077d5b3c7
00000e06c7ba,ffffaec49cf0,ffff53e81669,fffef7f11e3c
fffe9d3fa7d4,fffe463c22aa,fffdefb24f75,fffd9c466da8
fffd4857199c,fffce7653b24,fffc819ce0a2,fffc1e62bb32
fffbbb732c54,fffb56f5a631,fffaf5761ed8,fffa929713f6
fffa352408eb,fff9ef7e5d4c,fff9b56734fb,fff9848f1319
fff95a1fcd0e,fff92947a56e,fff8faa9bf00,fff8cea3190a
fff8a7706f22,fff892d5f78c,fff88802ec86,fff87b1319f1
fff87156ba93,fff873c3faf9,fff87693b15e,fff881a7c547
fff887d59ca7,fff862504947,fff82b1d7ac9,fff7ea9fb129
fff7a4a02f01,fff76e586253,fff73b9b21ba,fff709bdcad8
fff6d8a811e5,fff69acdb113,fff65913a6a7,fff625ee6b12
fff5f7e53933,fff5ba3c05f5,fff584633d01,fff54d0df921
fff5282f431d,fff5573b5865,fff5b1285cab,fff619a55f54
fff697072fd1,fff725eeb3af,fff7bf1b2458,fff86d34c07b
fff920c7bafb,fff9ae2d3778,fffa2fac14c2,fffab926f149
fffb4432e18f,fffbcfb50bcc,fffc63120d31,fffcf1214652
fffd89cd676c,fffe57bd1b26,ffff3c4e2042,00003374724f
00013340c8c7,000216549679,0002f514d1e7,0003cf53185f
0004ab230eae,0005b26ce4ef,0006c9b66ed9,0007c7727668
0008be746c33,0009d300d6c5,000ad8234d51,000be398c0a2
000cca978e4b,000d06bc8036,000ced437a65,000cb000566c
000c48a65318,000bcf6b3e62,000b438e0582,000a93019e7e
0009d3ce9740,00093971854e,0008a5a436f6,000808fa535a
000766459ef8,0006b276bb84,0005f25bdb00,00052ff9977a
0004644f94f8,00038190c85f,0002942c4cf2,00019714c9cd
000094a15be6,ffffaa435539,fffec2832ec3,fffde12e08f3
fffcfd09e8dd,fffbe75c884a,fffabeb59fee,fff9ab1a7d2d
fff89bc0ae04,fff773570a1c,fff658de0fd1,fff53735c2f8
fff436222423,fff3cf972c4d,fff3b5d31c5b,fff3bf77961c
fff3ef2de685,fff42715d498,fff46f13a70f,fff4d5c492f2
fff54baad54b,fff5b3a2be5b,fff61e3efc68,fff68df01bf4
fff704d855f2,fff792e3927d,fff82ac2e239,fff8cb3ab18c
fff96eecbfbc,fffa00e632de,fffa8ce20a2f,fffb1d09bc0d
fffbad01ff15,fffc38a8e591,fffcc586563f,fffd4eef9034
fffddb272e3c,fffe8043ef91,ffff2fe9fc46,ffffdbc7b717
000088c19fd7,00013cbbf892,0001ed57b0b6,0002a1f93239
00034debb78e,0003cc3d5d7b,0004349b8f39,0004916eff59
0004e37a9dc2,000537eab6a2,000588792ce6,0005d1a28b94
0006159cbb8e,000653c84ef8,00068ce8b05c,0006c6406120
0006fcb23e0d,0007287c4ae4,000752255da0,000775ca90a9
00079b2b5741,0007d9fb2192,000822911b96,00086f615c77
0008bea5d46c,000904c34123,0009482fe668,00098a9b28e9
0009cbcbf4db,000a11f6c6bd,000a58e4e098,000a9810d72d
000ad3beb3b0,000b15185526,000b516987d9,000b8d9b8df7
000bbfd8634f,000bc9425481,000bbda7cb76,000ba7746b15
000b8628dabf,000b61b67212,000b37ea36df,000b0527712b
000acd4bcbae,000a9734dda7,000a5f1654f9,000a24eded26
0009e7f84cea,0009a3ad7a6a,00095c1951dc,0009115cc9f7
0008c564202b,00087f4ddfe0,00083b1a8685,0007f54bf761
0007af62c579,00076aca91b1,0007259480c0,0006e17eb17a
00069c3b89e5,00064df3721d,0005fbd845f3,0005aa604727
000558504b98,000504fd9282,0004b2e18c48,00045f43d4f3
00040e46de7e,0003caa4bff6,00038d248bf9,0003555042c2
000320d138eb,0002e6640381,0002acb85e18,000273a11acd
00023d746b91,0002163aefc6,0001f659ec01,0001d4414806
0001b420b9bd,00019c930b31,000184ad9143,000172d4771a
00015cb0efdb,000123fd0280,0000dd299250,00008e7312d6
00003b2aae2f,fffff4bd712b,ffffb100b6d9,ffff6e1846d0
ffff2b90c62e,fffedd2b6a0a,fffe8af97feb,fffe449ecab2
fffe024759d5,fffdb3286a6b,fffd6a91520d,fffd2088784e
fffce5de2e26,fffcf12c6d26,fffd20204ae2,fffd5bf48266
fffda944530c,fffe0381506c,fffe66361b10,fffed9e04627
ffff529ce3e5,ffffafe7a625,0000053fbf63,000060b6456a
0000bdf24ea0,00011d3de268,000182dc3778,0001e5920c84
000250140203,0002deb3bcb2,00037ce84288,000428593014
0004d9fb4da7,000577ea71d9,00061321f1d8,0006ab53f541
000744e1cd9a,0007fd7a06e0,0008c1a803e3,00097406326f
000a21e322b0,000ae4ece689,000b9d581149,000c5a53e21a
000cfdc9ae21,000d28ef9e6e,000d17bdceaf,000cee111f86
000ca6d12a07,000c516c7f7d,000beec3da9b,000b71bfe29f
000aeabf8f3c,000a8183a654,000a1e85712f,0009b46e4f1d
0009463b692e,0008cd8ecb58,00084bb9cb41,0007c94eef45
00073eead9aa,00069b9f4f18,0005ecfbda65,0005312bc507
00047003e612,0003c1d4bb83,000315901d8c,00026d3b810f
0001c296560b,0000f31ac3a2,00001554ae5c,ffff488e4add
fffe7f2f584a,fffda0575480,fffccbef6c28,fffbf1c95f60
fffb312c2ddb,fffaeb878ef3,fffae312a4d5,fffaf43473e3
fffb2326d405,fffb5d6ef46b,fffba48698d7,fffc054efa59
fffc706deb9e,fffcc2d11ae4,fffd1110e8f6,fffd650a2115
fffdbd3d71ee,fffe223c6b31,fffe8fa5ff54,fffeff3fd4eb
ffff74be3db3,fffff659f0c5,00007dcadb05,00010ef96762
0001a361857d,000229347593,0002ada2069c,00032e1332b8
0003b0769f4c,0004524da894,0005005c312b,0005a15b6f14
00063ff42ead,0006eee0a99a,0007956bf93b,000840a5da14
0008d7b77e4a,00090ddcc7e8,000913d35dc6,000904f765a1
0008de7d4453,0008b056cfaf,00087813db6f,00082bdffa75
0007d7044599,000792033c29,00074e925757,000706ebf350
0006bb7196af,00066471a61f,000606dd6bf5,0005a6363de0
0005419bed0b,0004d9e73b89,0004700d3dff,000400363163
00038e7a09ac,0003248ff4ac,0002bada7e14,0002537897a0
0001ea5b52da,00016cb8c955,0000e6c97634,00006821215d
ffffea4bc019,ffff622dc07f,fffedea02c3d,fffe57ce346e
fffddcab4efe,fffd9b8a877e,fffd7726063e,fffd5e64828a
fffd5383c1dd,fffd4e4787c8,fffd4efcaa4a,fffd5be1b525
fffd6d771df4,fffd7213aa1a,fffd742c2c18,fffd794a4270
fffd8062488d,fffd8cf10db2,fffd9db1db96,fffdaf45de07
fffdc441cde9,fffde21d2352,fffe044a9b3e,fffe2bc021fa
fffe55866a43,fffe78ac1706,fffe9b841115,fffebd4a3ddc
fffee0548773,ffff119de31f,ffff48bed4ce,ffff7998bf4b
ffffa995ed61,ffffe2efe6b8,000018f1a91e,0000518e3e86
000080e045e8,000080fb5773,000069ac2ede,00004a86ca5f
000020754982,ffffeef8d265,ffffb8c735e5,ffff780a27f8
ffff34bedfeb,ffff049152a1,fffeda79a197,fffead3573b5
fffe7f8a78d8,fffe510111b2,fffe1efe1a45,fffdef7db987
fffdbb96da2f,fffd71220e24,fffd1d43cd6a,fffcc16d669c
fffc62266769,fffc101960d0,fffbc04c4926,fffb72e919ef
fffb25188142,fffac3abdcb6,fffa5b26b503,fff9fe984411
fff9a54c3b82,fff93e66e46f,fff8de9ed2a7,fff87c27c8ca
fff82a75a072,fff82719e2a0,fff84b2771dd,fff87ed4b0a9
fff8c5cd7654,fff916ff8a2c,fff970f282d2,fff9dc5d5686
fffa4e0a1182,fffaa9f5a368,fffb00befa47,fffb5c724067
fffbba8cd07e,fffc1e85df86,fffc888a2b4a,fffcf20b331e
fffd613f65e1,fffde52615e3,fffe72249088,ffff08decb46
ffffa382d9bd,00002f4274f1,0000b91c30d6,00013fcc2b4d
0001c7cb9934,00026a9ae027,000317899756,0003b73e1b4c
000453e4b2ee,0005002e7163,0005a426d25a,00064c0256f1
