fff9e4f617,fffe35a88c
ffffd4e03c,fffc336659
00057c31b9,000da792f2
0014940183,00209fb2dd
001fb88b6d,0021962285
00232d37bf,00134aa57a
0009f1d190,00051e52b0
0001e40278,fff78f2b86
fff8b878e2,fff39cdae0
fff628d615,ffffcde867
00055390c0,0010072200
00162956fa,001a55c7cd
001b4428a9,0023dd8ec4
0024752a31,00162f6c75
0010a8badb,0003a422c1
0002b46c3c,fff566a580
fffeba32bb,ffefb95d6d
fff3c75ac3,fffdefda05
0001f2e04e,0013c57887
001c090442,001bf28de1
00210b2253,001d1fe803
00232efd04,001b18617b
00110398d7,0005ea669e
fffe880708,fff7644a94
fffbedc881,fff38bb1c1
fffba65a40,fff387ee38
00000fabe5,000ac8dacf
0015deb9fb,001d2902f5
001e6397ac,001a33c233
0020230af1,001c652b73
000d66260a,00083d2d64
fffc86e9b3,fffa80ff20
fff69eaa03,ffed6a3bab
fff617248d,ffff3a91c5
00062cffcc,001206d47d
0018c077b7,0023c315dc
00211fd4cf,00236b2b7b
001d305d01,001cc41045
0012c71880,0005622df3
fff7aaabc0,fffee2faad
fffb033e28,fff84541e9
fff36d983c,fffbc3ace4
00074c5048,000fe984a3
0015a219bd,001a579d41
001f225533,0022000299
001b7688fe,00138bed4d
00121bde1c,000af51fd4
fffd61e2fe,fff2c6f4c5
fff31282e5,ffed503741
fffbad7a5d,fffdf27f05
00034205d9,0003b52a0b
0011489027,00270c214c
001ad32467,002099f7ff
0028a53638,0019a90b85
00157be5dc,0001c4eebb
0006da7f75,fff72714a9
fff8d9aa66,fff7a8d896
fff9bd531b,0006b87c5e
000b896393,0017aca9fc
0017640cfa,0014eaf928
0021996968,002347f06e
00256de2c8,0015928403
000d799314,000d1540f5
0003360b5a,fffa9aacb9
fff86248ce,fff567cdbd
fffaa4f03d,ffff7431d1
00092bfa7d,0006b865a6
0015812d43,001415f3ec
001fa46a4d,001e36bb62
001c57e92a,0019113992
000af97fa2,0007a1600e
00010ff347,fffba48d38
fff66abae6,fffb01797f
fff4dccde4,0003c6be9c
0000455e20,0017028254
001078c1c7,001f67b0a1
0021646ab9,002549edfb
001873e9f8,001c68f994
0012d2ec47,000af56bdd
fffa3a5ad2,fff8158316
fff49f69d7,fff386f939
fff70befca,ffffb25736
fff8c202f6,000bea1a23
00169bac83,002129651a
0019fe8b4d,002015c920
001d887eff,001365a39a
0014372fb7,000b2ceb21
fffe8948f1,fffc125e40
fff6db1e03,fffa2b36b1
fff645836e,00054365ef
000576fb69,000b027ca0
0018b30fd9,001f8184f5
001d9916b9,001c52d208
001d57c5fb,0013abd155
000b7242c1,ffff0b70ac
000552d89b,fff600da30
fff39c407a,fff8857fa3
ffff1ed927,fff694fe64
0001791054,0012ee6f5d
00194d38d4,00237dc936
001d742e78,0023450dfe
001aae1079,0016f34a28
00184baf1b,0008895f8e
ffff589746,fff7186ad2
ffefd6e665,ffee7219d7
fff458bfa8,0001c1d3d1
000cac9c79,00061b1395
001b6ac05a,001af4ab88
001ef8bbfe,0020768609
0018727753,001dc387df
0006e5b6d3,00069afb4a
fffa0edd51,000368642a
fff24976ac,fffcc92023
fff10a00d0,fffdbd831d
0002e91707,0005d91e66
001449f711,001cf73db7
002569fd89,0021daa27d
001713d495,0014f9ffea
0011c2c482,0005f6a0aa
000717f958,000077a6be
fff997f624,fff4ab0323
fff8b5735a,fffc332cb2
0005bed85d,0012488906
0015230157,001523a89a
00275f71a4,0026e0cb47
001e19481e,00164c4238
001151c19f,00034ceb5e
00059eccdb,fffc9ff3b3
fff2b3b7e3,fff062b1d1
fffa53508a,ffff7535e9
000203d402,001294f6d4
00162fcc80,00150b2ed0
00208852a8,001fdc60db
0016a42ac1,001b0b4f5b
0014e3d489,000b927455
fff8be05c0,fff4f02c35
fff1d8d4a7,fffa1195e7
fff0869059,00051b1bcc
fffe9c3d92,00133d87cb
001ed4846c,001ea821d3
002706e9c7,0024aabce8
0023dbb681,001adfb3c1
0013b1fc2d,000aba317e
